,date,open,high,low,close
0,2023-01-03,1.06675,1.06836,1.05195,1.05484
1,2023-01-04,1.05479,1.06357,1.05414,1.06041
2,2023-01-05,1.06047,1.06317,1.05151,1.05221
3,2023-01-06,1.05228,1.06483,1.04824,1.06434
4,2023-01-09,1.06413,1.07608,1.06394,1.07332
5,2023-01-10,1.07313,1.07595,1.07123,1.07346
6,2023-01-11,1.07341,1.07766,1.07256,1.07562
7,2023-01-12,1.07553,1.08671,1.07307,1.08511
8,2023-01-13,1.08483,1.0868,1.07806,1.08333
9,2023-01-16,1.08333,1.08743,1.08017,1.08227
10,2023-01-17,1.08217,1.08695,1.07746,1.07884
11,2023-01-18,1.07904,1.08876,1.07663,1.07945
12,2023-01-19,1.07914,1.08402,1.07826,1.08309
13,2023-01-20,1.08307,1.0859,1.08025,1.08563
14,2023-01-23,1.08658,1.09271,1.08464,1.08715
15,2023-01-24,1.08731,1.08982,1.08352,1.08885
16,2023-01-25,1.08871,1.09239,1.08573,1.09149
17,2023-01-26,1.09173,1.09296,1.08508,1.08914
18,2023-01-27,1.08896,1.09006,1.08379,1.08679
19,2023-01-30,1.08609,1.0914,1.08393,1.08518
20,2023-01-31,1.08498,1.0875,1.08022,1.08626
21,2023-02-01,1.08637,1.10013,1.08525,1.09892
22,2023-02-02,1.09893,1.10332,1.08855,1.0911
23,2023-02-03,1.09097,1.09403,1.07929,1.07937
24,2023-02-06,1.0791,1.07991,1.07095,1.07254
25,2023-02-07,1.07263,1.07668,1.06693,1.07278
26,2023-02-08,1.07241,1.07609,1.07096,1.07144
27,2023-02-09,1.07136,1.0791,1.07096,1.07388
28,2023-02-10,1.07369,1.07529,1.06665,1.06787
29,2023-02-13,1.06832,1.073,1.06557,1.07252
30,2023-02-14,1.07235,1.08042,1.07069,1.07359
31,2023-02-15,1.07372,1.07447,1.06606,1.06874
32,2023-02-16,1.06906,1.07227,1.06545,1.06728
33,2023-02-17,1.06728,1.06985,1.0613,1.0694
34,2023-02-20,1.06879,1.07048,1.06704,1.06846
35,2023-02-21,1.06842,1.06983,1.06376,1.0647
36,2023-02-22,1.06506,1.06641,1.05992,1.06043
37,2023-02-23,1.06063,1.06279,1.05773,1.05944
38,2023-02-24,1.05948,1.06144,1.05362,1.05453
39,2023-02-27,1.05463,1.062,1.05332,1.06094
40,2023-02-28,1.06071,1.06455,1.05743,1.05766
41,2023-03-01,1.0576,1.06916,1.05655,1.06691
